document_id,citation_mentions,followed,relied_on,approved,distinguished,doubted,overruled,disapproved,referred_to,court_actor,party_actor,quoted_authority_actor,unknown_actor,judicial_treatments
ECOURTS_000002,10,0,0,0,0,0,0,0,10,0,0,0,10,0
ECOURTS_000004,3,0,0,0,0,0,0,0,3,0,0,0,3,0
ECOURTS_000005,2,0,0,0,0,0,0,0,2,0,0,0,2,0
ECOURTS_000006,1,0,0,0,0,0,0,0,1,0,0,0,1,0
ECOURTS_000008,1,0,0,0,0,0,0,0,1,0,0,0,1,0
ECOURTS_000010,71,1,0,0,0,0,1,0,69,2,0,0,69,1
ECOURTS_000011,4,0,1,0,0,0,0,0,3,0,1,0,3,0
ECOURTS_000012,1,0,0,0,0,0,0,0,1,0,0,0,1,0
ECOURTS_000013,4,0,0,0,0,0,0,0,4,0,0,0,4,0
ECOURTS_000014,6,0,0,0,0,0,0,0,6,0,0,0,6,0
ECOURTS_000015,6,0,0,0,0,0,0,0,6,0,0,0,6,0
ECOURTS_000017,4,0,1,0,0,0,0,0,3,0,0,0,4,0
ECOURTS_000018,1,0,0,0,0,0,0,0,1,0,0,0,1,0
ECOURTS_000019,24,0,0,0,0,0,0,0,24,5,0,0,19,0
ECOURTS_000021,1,0,0,0,0,0,0,0,1,0,0,0,1,0
ECOURTS_000022,1,0,0,0,0,0,0,0,1,0,0,0,1,0
ECOURTS_000023,1,0,0,0,0,0,0,0,1,1,0,0,0,0
ECOURTS_000024,9,0,0,0,0,0,0,0,9,2,1,0,6,0
ECOURTS_000025,2,0,0,0,0,0,0,0,2,0,0,0,2,0
ECOURTS_000028,9,0,0,0,0,0,0,0,9,0,1,0,8,0
ECOURTS_000029,3,0,1,0,0,0,0,0,2,0,1,0,2,0
ECOURTS_000031,2,0,0,0,0,0,0,0,2,0,0,0,2,0
ECOURTS_000032,296,0,21,0,0,0,0,0,275,11,47,0,238,1
ECOURTS_000034,27,0,20,0,0,0,0,0,7,0,0,0,27,0
ECOURTS_000035,20,0,0,0,0,0,0,0,20,2,11,0,7,0
ECOURTS_000038,44,0,4,0,0,0,0,0,40,4,18,0,22,2
ECOURTS_000040,13,0,0,0,2,0,0,0,11,0,3,0,10,0
ECOURTS_000041,5,0,0,0,0,0,0,0,5,1,0,0,4,0
ECOURTS_000042,33,0,3,0,0,0,0,0,30,20,4,0,9,0
ECOURTS_000043,18,0,0,0,0,0,0,0,18,0,0,0,18,0
ECOURTS_000044,2,0,0,0,0,0,0,0,2,0,0,0,2,0
ECOURTS_000045,72,0,13,0,1,0,0,0,58,5,37,0,30,0
ECOURTS_000046,50,0,0,0,0,0,0,0,50,9,2,1,38,0
ECOURTS_000047,83,0,1,0,0,0,0,0,82,7,1,0,75,0
ECOURTS_000048,13,0,2,0,0,0,0,0,11,1,2,0,10,0
ECOURTS_000049,17,0,0,0,0,0,0,0,17,4,0,0,13,0
ECOURTS_000050,29,0,0,0,0,0,0,0,29,6,0,0,23,0
ECOURTS_000051,37,0,0,0,4,0,0,0,33,3,1,0,33,0
ECOURTS_000054,34,0,2,0,0,0,0,0,32,5,0,0,29,0
ECOURTS_000055,39,0,0,0,0,0,0,0,39,7,2,3,27,0
ECOURTS_000064,30,0,0,0,0,0,0,0,30,7,0,0,23,0
ECOURTS_000065,31,0,2,0,2,0,0,0,27,11,2,0,18,0
ECOURTS_000066,30,0,0,0,0,0,0,0,30,6,0,0,24,0
ECOURTS_000067,1,0,0,0,0,0,0,0,1,0,0,0,1,0
ECOURTS_000068,35,0,0,0,0,0,0,0,35,12,0,0,23,0
